ID,County,State,LandArea,TotalPop,TotalSeriousCrime,PercHS,PercBach,PercPov,PercUnemp,PerCapInc,TotalInc,Region
218,Niagara,NY,523,220756,9437,75.8,13.6,8.6,8.3,16647,3675,1
219,Lackawanna,PA,459,219039,4368,73.3,14.8,7.8,7.9,16963,3716,1
220,Galveston,TX,399,217399,18586,75.8,19.3,12.5,7,17744,3858,3
221,San_Luis_Obispo,CA,3305,217162,8103,83.3,22.9,6.8,5.8,17221,3740,4
222,Chatham,GA,440,216935,18732,73.7,18.6,13.6,4.3,17776,3856,3
223,Prince_William_County,VA,338,215686,9001,87.8,27.6,2.3,4.3,20543,4431,3
224,Lake,OH,228,215499,5481,81.1,17.5,3.6,5.7,19692,4244,2
225,Lancaster,NE,839,213641,16414,88.1,27.6,6,2.2,17816,3806,2
226,St._Charles,MO,561,212907,7785,83.3,21.2,3.5,6.4,18753,3993,2
227,Broome,NY,707,212160,7435,78.9,20.7,6.5,5.9,18058,3831,1
228,Saginaw,MI,809,211946,16190,74.8,13,14.7,8.8,16904,3583,2
229,Manatee,FL,741,211707,16916,75.6,15.5,6.8,5.8,17997,3810,3
230,Montgomery,AL,790,209085,17388,75.3,24.2,14.1,5.9,17469,3653,3
231,Greene,MO,675,207949,13551,78.9,20.7,9.2,4.8,16630,3458,2
232,Kanawha,WV,903,207619,10246,72.4,17.6,12.3,7.5,17192,3569,3
233,Ada,ID,1055,205775,9701,87.2,24.9,6.2,4.1,18786,3866,4
234,Washington,PA,857,204584,4526,73.2,13.6,9.7,7,16625,3401,1
235,St._Louis,MN,6226,198213,7518,80.3,17.3,9.7,6.5,15419,3056,2
236,Cumberland,PA,550,195257,5247,81,22.9,2.8,4.6,19254,3759,1
237,Marion,FL,1579,194833,14860,69.6,11.5,10.8,8.6,13802,2689,3
238,Brown,WI,529,194594,8101,82.6,17.7,6.7,4.6,18490,3598,2
239,Leon,FL,667,192493,23363,84.9,37.1,9.4,3.9,16422,3161,3
240,Brazoria,TX,1387,191707,8692,75.5,15.1,7.7,5.6,17951,3441,3
241,Bell,TX,1059,191088,10865,79.1,17.2,12.2,6.7,13536,2587,3
242,Kitsap,WA,396,189731,8996,86.6,19.8,7.5,5.2,17009,3227,4
243,Richmond,GA,324,189719,17918,70.9,17.3,14.8,4.9,15941,3024,3
244,McLennan,TX,1042,189123,16486,71.6,16.6,13.9,6.4,14925,2823,3
245,Yakima,WA,4296,188823,15139,66.1,13.7,15.6,11.6,15374,2903,4
246,Davis,UT,305,187941,6279,89.9,23.5,5.5,4.5,13394,2517,4
247,Ottawa,MI,566,187768,6140,79.8,18.7,3.8,6.5,18360,3447,2
248,Howard,MD,252,187328,9057,91.1,46.9,2.2,4.1,27546,5160,3
249,Barnstable,MA,396,186605,7441,88.4,28.1,5.8,11.1,23267,4342,1
250,Larimer,CO,2601,186136,8921,88.6,32.3,6.6,4.1,17140,3190,4
251,Beaver,PA,435,186093,4088,74.9,11.9,10.8,9.7,15162,2822,1
252,McHenry,IL,604,183241,4854,84.5,21,2.5,7.1,21855,4005,2
253,Peoria,IL,620,182827,12483,77.9,19.5,11.3,7.2,18342,3353,2
254,Montgomery,TX,1044,182201,9469,75.5,19.4,9.4,5.5,17084,3113,3
255,Harford,MD,440,182132,6735,81.6,21.5,4.1,6.7,20941,3814,3
256,Butte,CA,1640,182120,8939,77.6,19.5,12.2,9.4,15051,2741,4
257,Clayton,GA,143,182052,15419,77.2,14.7,7.3,5.8,16171,2944,3
258,Durham,NC,291,181835,15477,78.9,33.4,8.7,3.6,19238,3498,3
259,Alachua,FL,874,181596,18218,82.7,34.6,14.4,4.2,16058,2916,3
260,Saratoga,NY,812,181276,5281,83,25.2,4.4,5.9,18857,3418,1
261,Muscogee,GA,216,179278,11454,71.5,16.6,14.9,4.6,15505,2780,3
262,Merced,CA,1929,178403,8587,63.1,12,15.4,14.6,13961,2491,4
263,Sangamon,IL,868,178386,11929,81.8,22.4,7.2,4.8,19601,3497,2
264,Gaston,NC,357,175093,11865,60.9,10.8,8.2,6.2,16319,2857,3
265,Racine,WI,333,175034,11110,76.4,16.5,7.9,6.5,18426,3225,2
266,Buncombe,NC,656,174821,9512,74.5,19.1,8.2,4.9,16934,2960,3
267,Cleveland,OK,536,174253,12194,83.9,25.9,7,4.8,14443,2517,3
268,Litchfield,CT,920,174092,3593,80.9,25,2.4,7,25161,4380,1
269,Champaign,IL,997,173025,11508,87.5,34.1,8,4.5,16957,2934,2
270,Placer,CA,1404,172796,8904,85.1,22.7,5.3,6.8,20168,3485,4
271,Jefferson,MO,657,171380,3128,71.6,9,6,8.7,15896,2724,2
272,Arlington_County,VA,26,170936,12526,87.5,52.3,4.3,3.6,30242,5169,3
273,Newport_News_City,VA,68,170045,11776,79.3,18.4,12.2,6.5,15327,2606,3
274,Calcasieu,LA,1071,168134,6399,70.3,14.7,15.5,7.8,14968,2517,3
275,Lexington,SC,701,167611,9814,77.3,21,6.3,4.1,18126,3038,3
276,Harrison,MS,581,165365,7043,74.7,16.3,15.4,6.7,13691,2264,3
277,Ulster,NY,1127,165304,4701,76.6,21.6,5.6,5.9,18824,3112,1
278,Vanderburgh,IN,235,165058,8405,75.2,16,9.1,5.7,18093,2986,2
279,Lafayette,LA,270,164762,10599,73.3,22.5,16.2,5,16868,2779,3
280,York,ME,991,164587,6027,79.5,19,4.7,6.9,17908,2947,1
281,Cambria,PA,688,163029,3187,71.2,10.8,11.2,9.2,14473,2360,1
282,Wyandotte,KS,151,161993,18902,69.9,10.3,13.9,7.4,14134,2290,2
283,Berrien,MI,571,161378,12229,74.7,16.7,11.6,9.1,16232,2619,2
284,Thurston,WA,727,161238,7882,86.5,24.7,7.1,5.9,17312,2791,4
285,Kent,RI,170,161135,7302,76.8,20.5,3.7,8.6,20086,3237,1
286,Shawnee,KS,550,160976,13845,84.4,22.3,7.4,4.7,19558,3148,2
287,Muskegon,MI,509,158983,12181,74.2,11.1,12.4,12,14767,2348,2
288,Weber,UT,576,158330,9191,82.5,18,7.8,5.7,15301,2423,4
289,Elkhart,IN,464,156198,7573,72.8,14.2,5.3,6.4,16770,2619,2
290,Rensselaer,NY,654,154429,5297,77.7,19.5,6.6,6.3,17774,2745,1
291,Clay,MO,397,153411,11085,84.7,20,4.2,5.7,18395,2822,2
292,Schuylkill,PA,779,152585,2119,68.4,8.1,7.7,9.7,15853,2419,1
293,Lake,FL,953,152104,7099,70.6,12.7,7.9,8.9,17496,2661,3
294,Collier,FL,2026,152099,9426,79,22.3,6.4,7.5,25589,3892,3
295,Butler,PA,789,152013,3420,78.6,15.6,7.1,6.8,17251,2622,1
296,Chesapeake_City,VA,341,151976,8427,77.1,16.9,7,6.1,16924,2572,3
297,Smith,TX,929,151309,11712,75.7,19.8,12.6,6.6,17511,2650,3
298,Tuscaloosa,AL,1325,150522,12377,69.6,20,13.5,5.4,15113,2275,3
299,Frederick,MD,663,150208,4939,80.4,22,3.5,6,19954,2997,3
300,Clermont,OH,452,150187,5114,72.8,14.5,7.4,6,16231,2438,2
301,St._Lucie,FL,573,150171,9842,71.7,13.1,8.5,13.8,14137,2123,3
302,Bibb,GA,250,149967,12701,68.2,17,15.9,4.1,17548,2632,3
303,Onslow,NC,767,149838,7505,83,13.4,9.8,5.6,10190,1527,3
304,Jackson,MI,707,149756,8630,77.7,12.9,9.4,9.9,15750,2359,2
305,Schenectady,NY,206,149285,6364,80.7,23,5.7,5.6,20679,3087,1
306,Rock_Island,IL,427,148723,7154,77.4,15,10.2,7.5,17818,2650,2
307,Clark,OH,400,147548,10131,73.4,12.2,10.4,6.5,16676,2461,2
308,Shasta,CA,3786,147036,7336,78.4,13.7,11,10.3,16277,2393,4
309,Penobscot,ME,3396,146601,4749,79.1,17.7,9.5,8,15521,2275,1
310,Hampshire,MA,529,146568,2547,83,31.9,5.7,7.7,17853,2617,1
311,Jackson,OR,2785,146389,7170,80.1,17.6,9.7,7.6,15582,2281,4
312,Washington,MN,392,145896,5365,90,26.2,3.6,4.6,20682,3017,2
313,St._Clair,MI,725,145607,6568,74.8,10.7,9.2,11.8,17480,2545,2
314,Fayette,PA,790,145351,3612,67.8,9.3,17.6,9.4,14051,2042,1
315,Anderson,SC,718,145196,7525,64,12.9,8.6,6.6,14205,2063,3
316,St._Tammany,LA,854,144508,4447,76.9,23.1,11.1,6.2,17129,2475,3
317,Horry,SC,1134,144053,12459,74.3,16,11.6,7.7,14693,2117,3
318,Okaloosa,FL,936,143776,5153,83.8,21,7.8,6.7,15803,2272,3
319,Sullivan,TN,413,143596,6236,66.8,15.6,10.4,4.4,15747,2261,3
320,Middlesex,CT,369,143196,3409,82.6,28.2,2.6,5.8,24132,3456,1
321,Portage,OH,492,142585,2769,79.3,17.6,7.6,6,16031,2286,2
322,Ouachita,LA,611,142191,10605,71.6,18.9,19.6,6.4,13869,1972,3
323,Kenton,KY,163,142031,6925,74.4,17,8.2,5.4,16935,2405,3
324,Chautauqua,NY,1062,141895,5178,74.4,14.2,9.9,7.7,15197,2156,1
325,Yolo,CA,1012,141092,10650,79.1,30.3,9.8,7.2,19727,2783,4
326,Outagamie,WI,640,140510,4860,81.5,16.7,4.6,4.9,17182,2414,2
327,Winnebago,WI,439,140320,6170,80.6,18.2,5.3,4.8,17645,2476,2
328,Williamson,TX,1124,139551,5724,81.4,24.6,7.6,3.8,14934,2084,3
329,Rock,WI,721,139510,7643,78.2,13.3,7.8,9.7,16742,2336,2
330,Berkshire,MA,931,139352,3862,77.9,20.9,6.3,10.1,20068,2797,1
331,Cumberland,NJ,489,138053,9071,63.4,10.8,10.2,10.7,16819,2322,1
332,Greene,OH,415,136731,5221,82.4,26,7.1,5.2,18161,2483,2
333,Calhoun,MI,709,135982,9810,76.8,13.8,11,8.5,15944,2168,2
334,Dona_Ana,NM,3807,135510,8850,70.4,21.9,20.7,7.4,11379,1542,4
335,Hampton_City,VA,52,133793,8376,79.7,19.1,8.8,6.8,14743,1973,3
336,Monroe,MI,551,133600,6726,74.1,10.5,6.9,11.1,17278,2308,2
337,Webb,TX,3357,133239,12202,47.8,11.1,33.1,9.8,8973,1196,3
338,Weld,CO,3993,131821,7901,74.9,18.4,10.6,4.5,15874,2093,4
339,Chittenden,VT,539,131761,4739,86.7,34,5,4.4,19940,2627,1
340,Rapides,LA,1323,131556,6101,69,14.6,18.6,7.1,14615,1923,3
341,York,SC,683,131497,9525,67.5,16.9,7.6,5.5,16713,2198,3
342,Sussex,NJ,521,130943,3174,85.1,24.9,2.5,6.8,24405,3196,1
343,Madison,IN,452,130669,5373,73.5,11.7,10.3,7.5,16018,2093,2
344,Tippecanoe,IN,500,130598,6141,85.2,30.7,6.8,3.2,15847,2070,2
345,Blair,PA,526,130542,3196,75,10.5,11,9,14779,1929,1
346,McLean,IL,1184,129180,5949,84.7,29,5.9,4.6,18961,2449,2
347,Porter,IN,418,128932,4014,82.4,18.5,4.6,4.5,17566,2265,2
348,Tolland,CT,410,128699,1799,84.7,29.2,2.7,5.9,21944,2824,1
349,Licking,OH,687,128300,1380,76.4,13,8.3,6.3,16412,2106,2
350,Kenosha,WI,273,128181,6616,75.1,12.7,7.6,6.4,17338,2222,2
351,Whatcom,WA,2120,127780,7070,83.2,22,7.4,6.3,16002,2045,4
352,Bay,FL,764,126994,8634,74.7,15.7,11.2,8,14814,1881,3
353,Davidson,NC,552,126677,5662,64.2,10,7.3,5.9,15079,1910,3
354,Richland,OH,497,126137,7977,73.5,11.6,8.4,9.4,16191,2042,2
355,El_Dorado,CA,1712,125995,5152,85.9,20.8,5.8,6.1,19250,2425,4
356,Minnehaha,SD,809,123809,5625,83.1,21.3,5.4,2.5,18526,2294,2
357,Centre,PA,1108,123786,4136,83.6,32.3,6.2,6.1,15476,1916,1
358,Tazewell,IL,649,123692,3140,78.6,13.6,7.1,7.4,18008,2227,2
359,Carroll,MD,449,123372,3430,78.5,19.6,2.5,5.7,22002,2714,3
360,Pueblo,CO,2389,123051,8640,73.9,14,16.7,7,14197,1747,4
361,Wichita,TX,628,122378,10727,75.1,16.5,12.5,6.8,17119,2095,3
362,Medina,OH,422,122354,563,82.4,18,4.1,5.8,18892,2312,2
363,Brazos,TX,586,121862,8203,79.8,35.8,14.9,3.6,12641,1540,3
364,Oswego,NY,953,121771,3582,74.7,12.9,8.1,10,14834,1806,1
365,Franklin,PA,772,121082,3155,69.4,12.4,5.7,6.7,16281,1971,1
366,Mercer,PA,672,121003,2777,75.1,13.6,10.1,7.2,15177,1836,1
367,Aiken,SC,1073,120940,6835,70.7,17.2,11,4.9,17898,2165,3
368,Hawaii,HI,4028,120317,7226,77.7,18.5,10.9,4,16728,2013,4
369,New_Hanover,NC,199,120284,11892,78.1,21.2,9.9,5.9,17119,2059,3
370,Merrimack,NH,935,120005,3325,83.2,25.4,3.6,7.1,20600,2472,1
371,Delaware,IN,393,119659,1064,74.5,16.5,10.3,6.1,15697,1878,2
372,Taylor,TX,916,119655,6785,75.4,20.7,11.2,5.9,16021,1917,3
373,Humboldt,CA,3573,119118,5737,80.5,20,12.8,8.8,16138,1922,4
374,Ector,TX,901,118934,14643,66.9,11.4,16.6,6.6,14766,1756,3
375,Stearns,MN,1345,118791,4101,78.3,17.5,7.3,5.4,14757,1753,2
376,Lycoming,PA,1235,118710,3826,74.5,12.3,8.4,8,15778,1873,1
377,Rutherford,TN,619,118570,6072,73.9,18.7,7.6,5.4,15501,1838,3
378,Catawba,NC,400,118412,6830,66.7,14.2,4.8,6.4,17396,2060,3
379,Macon,IL,581,117206,6103,76.2,14.8,9.8,8.9,18021,2112,2
380,Pinal,AZ,5370,116379,6275,65.5,8.2,18.7,7.9,11396,1326,4
381,Calhoun,AL,609,116034,4901,67.4,14.2,11.7,7.3,13776,1598,3
382,Kennebec,ME,868,115904,4184,78.9,18.1,7.3,6.8,17131,1986,1
383,Livingston,MI,568,115645,3760,85.6,19.6,3,8.1,21153,2446,2
384,Marathon,WI,1545,115400,3655,75.9,13.5,5.5,5.9,16305,1882,2
385,Jackson,MS,727,115243,4777,74.4,14.4,14,7.1,13475,1553,3
386,Florence,SC,799,114344,8421,64.3,14.8,15.9,5.9,14961,1711,3
387,Lebanon,PA,362,113744,2919,70,11.8,5.2,5.9,16500,1877,1
388,Yellowstone,MT,2635,113419,3879,83.7,21.5,9,5.3,17272,1959,4
389,Washington,AR,950,113409,6122,73.2,20,9.8,3.7,14736,1671,3
390,Wood,OH,617,113269,3759,83.8,21.9,5,6.6,17522,1985,2
391,Benton,WA,1703,112560,6249,83.9,23.3,8.9,6.8,17332,1951,4
392,Boone,MO,685,112379,5456,84.8,36.5,9.3,3.2,17175,1930,2
393,St._Lawrence,NY,2686,111974,3851,73.1,15.1,12.8,9.8,12704,1423,1
394,Bay,MI,444,111723,4849,74,11,10.2,9.2,16499,1843,2
395,Comanche,OK,1069,111486,5979,81.1,18.4,13.3,6.6,13228,1475,3
396,Alexandria_City,VA,15,111183,8537,86.9,48.5,4.7,4.6,31699,3524,3
397,Kent,DE,591,110993,5846,73.1,15,8.7,7.6,14946,1659,1
398,Charlotte,FL,694,110975,3741,75.7,13.4,5.2,7.2,16362,1816,3
399,Jefferson,NY,1272,110943,3064,76.4,13.6,9.5,11,15205,1687,1
400,Napa,CA,754,110765,5056,80.7,22.3,4.6,5.9,22668,2511,4
401,Rowan,NC,511,110605,5233,66,11.7,6.8,5.4,15691,1736,3
402,Washington,RI,333,110006,3838,82.8,29.1,3.7,6.7,19449,2140,1
403,Allen,OH,405,109755,4734,76.1,11.4,10.4,7.3,16542,1816,2
404,Imperial,CA,4175,109303,8042,53.2,9.7,20.8,21.3,14523,1587,4
405,Monroe,IN,394,108978,1657,82.1,32.9,9.5,3.7,14266,1555,2
406,Hamilton,IN,398,108936,1699,88.7,36.2,2.6,2.8,25681,2798,2
407,Columbiana,OH,533,108276,898,71.8,8.5,13,6.7,12597,1364,2
408,Alamance,NC,431,108213,4152,67.9,14.6,6,4.5,17306,1873,3
409,Pitt,NC,652,107924,4603,71,21.9,15.5,5.5,15852,1711,3
410,Hunterdon,NJ,430,107776,2068,85.9,34.6,1.8,4.1,30255,3261,1
411,Osceola,FL,1322,107728,9665,73.7,11.2,6.9,6.7,16451,1772,3
412,Yavapai,AZ,8124,107714,3952,78.9,17.7,9.8,5.4,13681,1474,4
413,La_Porte,IN,598,107066,6021,73.9,11.7,7.8,5.8,16655,1783,2
414,La_Salle,IL,1135,106913,2982,73.1,10.5,8.7,9.6,16119,1723,2
415,Yuma,AZ,5514,106895,5414,64.9,12.7,15.4,17.8,11490,1228,4
416,Midland,TX,900,106611,7546,76.8,26.4,11.5,5.4,19345,2062,3
417,Randolph,NC,788,106546,2940,62,9.1,6.5,4.8,14721,1568,3
418,Olmsted,MN,653,106470,4310,88,29.5,4.5,3.3,20515,2184,2
419,Vigo,IN,403,106107,3435,76,18.1,10.7,5,15036,1595,2
420,Clay,FL,601,105986,4560,81.2,17.9,5.4,5.9,16029,1699,3
421,Androscoggin,ME,470,105259,4020,71.8,12.6,8.7,9.7,16154,1700,1
422,Robeson,NC,949,105179,4318,57,11,20.7,8.9,10849,1141,3
423,Gregg,TX,274,104948,9181,75.8,17.7,13.4,8.2,16775,1761,3
424,Wayne,NC,553,104666,4682,71.2,12.7,11.9,7.3,13350,1397,3
425,Strafford,NH,369,104233,3651,79.8,21.7,5.1,6.5,17182,1791,1
426,Sheboygan,WI,514,103877,4433,77.4,13.8,4.5,5.6,18061,1876,2
427,Fairfield,OH,506,103461,625,78.8,15.5,6.8,6.3,16342,1691,2
428,Sumner,TN,529,103281,3285,70.6,14.4,7,6.8,16514,1706,3
429,Cass,ND,1766,102874,3401,87.1,26.5,7.3,2.5,16275,1674,2
430,Sumter,SC,666,102637,7138,69.8,15,16.9,9.4,11803,1211,3
431,Sarpy,NE,241,102583,2689,91,25.4,3.5,2.6,16137,1655,2
432,Windham,CT,513,102525,1397,71.1,16.8,6,9.2,18070,1853,1
433,Kings,CA,1390,101469,4449,65.6,9,15,12.8,13907,1411,4
434,Wayne,OH,555,101461,2377,73.6,13.9,8.4,5.9,16464,1670,2
435,Charles,MD,461,101154,5279,81,16.2,3.7,4.9,19317,1954,3
436,Hernando,FL,478,101115,4414,70.5,9.7,7.9,8.2,13919,1407,3
437,Martin,FL,556,100900,5081,79.7,20.3,5,9.8,27125,2737,3
438,Montgomery,TN,539,100498,6537,77.9,16.5,10.8,8,13169,1323,3
439,Maui,HI,1159,100374,7130,77,17.8,5.7,3.2,18504,1857,4
440,Morgan,AL,582,100043,4693,69.4,15.5,9.4,7.1,16458,1647,3
